                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3226,                  2.945,                 1.6917,                0.70198,                0.16667,                0.24477,                0.17876,                 0.8105,                 3.1736,                 1.2385,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.3967,                 2.9209,                 1.7591,                0.62504,                0.16667,                0.26108,                0.18333,                0.82402,                 3.1549,                 1.2508,               0.097299,             0.00029851,             0.00029851
                      2,                 1.2898,                 2.8333,                 1.7306,                0.97964,                0.11111,                 0.2738,                0.18348,                0.84078,                 3.1292,                 1.2622,               0.095495,             0.00049505,             0.00049505
                      3,                 1.3481,                 2.7361,                 1.7749,                0.20864,                0.32845,                0.46508,                  0.365,                0.80102,                  2.654,                  1.183,                0.09369,              0.0006896,              0.0006896
                      4,                 1.2672,                 2.3739,                  1.598,                0.69809,                0.62222,                0.73324,                0.57928,                0.78804,                 1.9429,                 1.1737,               0.091882,             0.00088218,             0.00088218
                      5,                 1.1913,                  1.905,                 1.5951,                0.66942,                0.71771,                0.76018,                0.59012,                0.78865,                 1.8141,                 1.1915,               0.090073,              0.0010728,              0.0010728
                      6,                 1.2235,                 1.8106,                 1.6636,                0.75407,                0.67778,                0.77722,                0.60873,                0.76563,                 1.6483,                 1.1661,               0.088261,              0.0012614,              0.0012614
                      7,                 1.0921,                 1.4657,                 1.4918,                0.73003,                0.84444,                0.81045,                0.62627,                0.74705,                 1.3564,                 1.1464,               0.086448,               0.001448,               0.001448
                      8,                 1.0653,                 1.5037,                 1.4338,                0.89331,                 0.8343,                0.85164,                0.61277,                0.73514,                  1.302,                 1.1527,               0.084633,              0.0016327,              0.0016327
                      9,                 1.0517,                 1.3579,                 1.4844,                0.79898,                0.89497,                0.85226,                0.66074,                0.68659,                 1.2159,                 1.1241,               0.082815,              0.0018154,              0.0018154
                     10,                0.97896,                 1.1073,                 1.3973,                0.90039,                0.89651,                0.87885,                 0.7225,                0.70663,                0.94332,                 1.1259,               0.080996,               0.001996,               0.001996
